NO,UNIT CODE,CATEGORY,UNIT TYPE,UNIT MODEL,UNIT CATEGORY,SECTION,VENDOR,SERIAL NUMBER,HM/KM,Last Refueling,Std Ratio,PARAMETER
1368,SMP EX-51,EXCAVATOR,EX 300,ZX 350H-5G,MS HE,OPERATION RENTAL,SMP RENTAL,52087,  ,, 22.15 ,HM
1369,MNK DM-05,DRILLING MACHINE,DRILLING BLASTING,D50KS,GAM SUPPORT,BLASTING,KMB,,  ,,  ,HM
1371,GEK-833,EXCAVATOR,EX 200,PC 200-8MO,MS HE,OPERATION RENTAL,GPE RENTAL,C-24322,"21,048.9",9-Aug-25, 14.87 ,HM
1372,SMP DZ-32,BULLDOZER,D155,D155A-6,MS HE,OPERATION RENTAL,SMP RENTAL,88286,"9,444.3",31-Jul-25, 40.00 ,HM
1374,SMP LV-16,LIGHT VEHICLE,LV,TRITON 2.5 SC GLS,HAULING SUPPORT,OPERATION RENTAL,SMP RENTAL,,"218,592.0",7-Aug-25, 7.00 ,ODD
1375,KP-TBM001,LOADED TRUCK,MBL-BEBAN DT,CANTER SUPER HD-X,GAM SUPPORT,OPERATION RENTAL,GAM CONSTRUCTION,KT 8483 RN,  ,, 5.00 ,ODD
1376,GWA-01,WHEEL LOADER,WA,WA500,MS HE,OPERATION RENTAL,MGE RENTAL,,"29,402.9",31-Jul-25, 22.50 ,HM
1377,GDZ-01,BULLDOZER,D85,D85ESS-2,MS HE,OPERATION RENTAL,MGE RENTAL,,"7,434.5",10-Aug-25, 23.00 ,HM
1378,GCT-01,CRANE TRUCK,CRANE TRUCK,QUESTER CWE370,GAM SUPPORT,FACILITY,GAM FACILITY,,"6,108.5",31-Jul-25, 0.90 ,HM
1380,SMP LV-17,LIGHT VEHICLE,LV,TRITON 2.5 SC GLS,HAULING SUPPORT,OPERATION HAULING,SMP HAULING,,"199,187.0",31-Jul-25, 7.00 ,ODD
1381,SMP MG-15,MOTOR GRADER,MG,GD535-5,MS HE,STOCKPILE,SMP RENTAL,J10197,"21,861.4",, 16.00 ,HM
1383,SMP WTH-06,WATER TRUCK,WT CONTRACT,HINO 500 WT,MS SUPPORT,ROAD & FABRICATION,SMP RENTAL,35096,567.1,8-Aug-25, 7.80 ,HM
1384,KAI LV-022,LIGHT VEHICLE,LV,TRITON 2.5 DC GLS,HAULING SUPPORT,OPERATION HAULING,KAI HAULING,KT 8271 YR,"203,414.0",, 7.00 ,ODD
1392,KAI LV-023,LIGHT VEHICLE,LV,TRITON 2.5 DC GLS,MS SUPPORT,OPERATION RENTAL,KAI RENTAL,KT 8677 YQ,  ,, 7.00 ,ODD
1394,WMR 01,WELDING MACHINE,WELDING MACHINE,BIG BLUE 600 A,GAM SUPPORT,FACILITY,GAM FACILITY,,  ,,  ,HM
1395,WMR 02,WELDING MACHINE,WELDING MACHINE,BIG BLUE 600 A,GAM SUPPORT,FACILITY,GAM FACILITY,,  ,,  ,HM
1397,SUC-213,LIGHT VEHICLE,LV,TRITON 2.5 DC GLS,GAM SUPPORT,QUALITY CONTROL,SUCOFINDO,DA 8189 CK,  ,, 7.00 ,ODD
1398,GWA-02,WHEEL LOADER,WA,WA500,MS HE,OPERATION RENTAL,MGE RENTAL,,"29,454.4",9-Aug-25, 22.50 ,HM
1401,GAM B-01,BUS,BUS,NQR 71 ,GAM SUPPORT,GA,BELFANO NAHLA UTAMA,KT 7659 K,"122,712.0",9-Aug-25, 4.75 ,ODD
1407,KC-07,COMPRESSOR,COMPRESSOR,MWU7070,MS SUPPORT,OPERATION RENTAL,KAI RENTAL,,  ,,  ,HM
1408,GGD-01,MOTOR GRADER,MG,GD705A-5,MS HE,HE,MGE RENTAL,,"20,468.0",6-Aug-25, 16.00 ,HM
1409,SMP DT-855,DUMP TRUCK,HAULING TRUCK,QUESTER CGE370,HAULING,OPERATION HAULING,SMP HAULING,30490,"1,112,240.3",29-Jul-25, 2.00 ,ODD
1410,SMP DT-856,DUMP TRUCK,HAULING TRUCK,QUESTER CGE370,HAULING,OPERATION HAULING,SMP HAULING,30447,"1,140,742.1",9-Aug-25, 2.00 ,ODD
1412,LV 541,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,ROAD & FABRICATION,DAUN BUAH,KT 8842 DK,"244,140.0",8-Aug-25, 7.00 ,ODD
1415,DTVV-160,DUMP TRUCK,HAULING TRUCK,FMX 440-6X4,HAULING,OPERATION HAULING,KAI HAULING,,"783,736.7",31-Jul-25, 2.00 ,ODD
1416,DTVV-161,DUMP TRUCK,HAULING TRUCK,FMX 440-6X4,HAULING,OPERATION HAULING,KAI HAULING,,"792,303.8",9-Aug-25, 2.00 ,ODD
1417,DTVV-162,DUMP TRUCK,HAULING TRUCK,FMX 440-6X4,HAULING,OPERATION HAULING,KAI HAULING,,"790,599.1",30-Jul-25, 2.00 ,ODD
1418,DTVV-163,DUMP TRUCK,HAULING TRUCK,FMX 440-6X4,HAULING,OPERATION HAULING,KAI HAULING,,"752,196.7",9-Aug-25, 2.00 ,ODD
1419,DTVV-165,DUMP TRUCK,HAULING TRUCK,FMX 440-6X4,HAULING,OPERATION HAULING,KAI HAULING,,  ,, 2.00 ,ODD
1421,UT-401,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,HE,UNITED TRACKTOR,KT 8353 NM,  ,, 7.00 ,ODD
1422,SMP DT-857,DUMP TRUCK,HAULING TRUCK,QUESTER CGE370,HAULING,OPERATION HAULING,SMP HAULING,30468,"1,069,458.1",8-Aug-25, 2.00 ,ODD
1423,SMP DT-858,DUMP TRUCK,HAULING TRUCK,QUESTER CGE370,HAULING,OPERATION HAULING,SMP HAULING,30461,"735,037.2",30-Jul-25, 2.00 ,ODD
1424,SMP EX-52,EXCAVATOR,EX 200,PC 200-8MO,MS HE,OPERATION RENTAL,SMP RENTAL,C24356,  ,, 14.87 ,HM
1426,GWM-01HE,WELDING MACHINE,WELDING MACHINE,BIG BLUE 500 CX,GAM SUPPORT,ROAD & FABRICATION,GAM R&F,,"1,835.5",,  ,HM
1427,LINTAS SAMUDRA,TUG BOAT,TUG BOAT,TUG BOAT,GAM SUPPORT,SHIPPING,GAM SHIPPING,,  ,,  ,HM
1429,SMP ST-02,SERVICE TRUCK,SERVICE TRUCK,FM 260 JD,MS SUPPORT,OPERATION RENTAL,SMP RENTAL,,"62,633.0",8-Aug-25, 1.80 ,ODD
1430,KEX-21,EXCAVATOR,EX 200,PC 200-8MO,MS HE,OPERATION RENTAL,KAI RENTAL,,"18,505.7",, 14.87 ,HM
1431,KEX-22,EXCAVATOR,EX 200,PC 200-8MO,MS HE,OPERATION RENTAL,KAI RENTAL,,"18,114.1",10-Aug-25, 14.87 ,HM
1434,DTVV-167,DUMP TRUCK,HAULING TRUCK,FMX 440-6X4,HAULING,OPERATION HAULING,KAI HAULING,,"758,123.6",18-May-25, 2.00 ,ODD
1435,DTVV-168,DUMP TRUCK,HAULING TRUCK,FMX 440-6X4,HAULING,OPERATION HAULING,KAI HAULING,,"710,324.4",9-Aug-25, 2.00 ,ODD
1436,DTVV-169,DUMP TRUCK,HAULING TRUCK,FMX 440-6X4,HAULING,OPERATION HAULING,KAI HAULING,,"762,334.2",31-Jul-25, 2.00 ,ODD
1437,DTVV-170,DUMP TRUCK,HAULING TRUCK,FMX 440-6X4,HAULING,OPERATION HAULING,KAI HAULING,,"758,324.1",7-Aug-25, 2.00 ,ODD
1442,W-03,WELDING MACHINE,WELDING MACHINE,BIG BLUE 400X PRO,GAM SUPPORT,ROAD & FABRICATION,GAM R&F,,"4,243.0",6-Aug-25,  ,HM
1443,MNK DM-06,DRILLING MACHINE,DRILLING BLASTING,C-650 DM,GAM SUPPORT,BLASTING,KMB,,  ,,  ,HM
1444,MNK LV-06,LIGHT VEHICLE,LV,TRITON 2.5 DC GLS,GAM SUPPORT,BLASTING,KMB,DA 8638 YL,  ,, 7.00 ,ODD
1446,KAI LV-025,LIGHT VEHICLE,LV,TRITON 2.5 SC GLS,MS SUPPORT,OPERATION RENTAL,KAI RENTAL,KT 8392 YR,"211,438.0",10-Aug-25, 7.00 ,ODD
1450,GCM-01,COMPRESSOR,COMPRESSOR,TF 85MR-DI,GAM SUPPORT,OPERATION RENTAL,GAM OPERATION RENTAL,,  ,,  ,HM
1452,SMP DT-859,DUMP TRUCK,HAULING TRUCK,QUESTER CGE370,HAULING,OPERATION HAULING,SMP HAULING,30475,"1,140,784.0",8-Aug-25, 2.00 ,ODD
1453,GEH-836,EXCAVATOR,EX 300,ZX 350H-5G,MS HE,OPERATION RENTAL,GPE RENTAL,HCMDDEF2P00052115,"22,096.0",, 22.15 ,HM
1459,G-01 KWN,GENSET,GENSET,FD 30 FW,,PROJECT,KWN,,  ,,  ,HM
1460,KG-02 New,GENSET,GENSET,FD 20 FW,MS SUPPORT,OPERATION RENTAL,KAI RENTAL,,"4,220.9",10-Aug-25,  ,HM
1461,MIXT 01,LOADED TRUCK,MIXER TRUCK,CANTER,,PROJECT,KWN,,  ,,  ,ODD
1463,PMVV-075,TRAILER TRUCK,TRAILER TRUCK,FH 16,TRAILER HAULING,OPERATION HAULING,KAI HAULING,,"575,468.0",5-Aug-25, 1.00 ,ODD
1464,PMVV-076,TRAILER TRUCK,TRAILER TRUCK,FH 16,TRAILER HAULING,OPERATION HAULING,KAI HAULING,,"559,739.4",31-Jul-25, 1.00 ,ODD
1465,PMVV-077,TRAILER TRUCK,TRAILER TRUCK,FH 16,HAULING,OPERATION HAULING,KAI HAULING,,  ,, 1.00 ,ODD
1466,PMVV-078,TRAILER TRUCK,TRAILER TRUCK,FH 16,TRAILER HAULING,OPERATION HAULING,KAI HAULING,,"498,576.6",9-Aug-25, 1.00 ,ODD
1467,PMVV-079,TRAILER TRUCK,TRAILER TRUCK,FH 16,TRAILER HAULING,OPERATION HAULING,KAI HAULING,,"480,644.8",31-Jul-25, 1.00 ,ODD
1468,LV 408,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,FACILITY,DAUN BUAH,KT 8899 DK,  ,, 7.00 ,ODD
1469,UT-327,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,HE,UNITED TRACKTOR, KT 8401 YN,  ,, 7.00 ,ODD
1470,GAM WT GA-02,WATER TRUCK,WT SUPPORT,COLT DIESEL ,GAM SUPPORT,GA,GAM GA,DK 8772 WB,  ,, 7.00 ,ODD
1474,GEK-851,EXCAVATOR,EX 200,PC 200-8MO,MS HE,OPERATION RENTAL,GPE RENTAL,C-24418,"18,554.7",31-Jul-25, 14.87 ,HM
1475,GEH-838,EXCAVATOR,EX 300,ZX 350H-5G,MS HE,OPERATION RENTAL,GPE RENTAL,HCMDDEF2P00052116,"20,879.1",9-Aug-25, 22.15 ,HM
1476,GEH-839,EXCAVATOR,EX 300,ZX 350H-5G,MS HE,OPERATION RENTAL,GPE RENTAL,HCMDDEF2P00052117,"21,467.6",10-Aug-25, 22.15 ,HM
1477,SMP GN-12,GENSET,GENSET,KG62WS,MS SUPPORT,OPERATION RENTAL,SMP RENTAL,,  ,,  ,HM
1478,TRANS 25,TUG BOAT,TUG BOAT,TUG BOAT,GAM SUPPORT,SHIPPING,GAM SHIPPING,,  ,,  ,HM
1479,TRANS 17,TUG BOAT,TUG BOAT,TUG BOAT,GAM SUPPORT,SHIPPING,GAM SHIPPING,,  ,,  ,HM
1480,KCP-06,COMPACTOR,COMPACTOR,BW211-D40,MS HE,ROAD & FABRICATION,KAI RENTAL,,"17,955.0",10-Aug-25, 9.50 ,HM
1481,KLT-18,LIGHTING TOWER,TL,AM-LTM-4000KS,MS SUPPORT,OPERATION RENTAL,KAI RENTAL,,"16,227.2",10-Aug-25,  ,HM
1483,KLT-20,LIGHTING TOWER,TL,AM-LTM-4000KS,MS SUPPORT,OPERATION RENTAL,KAI RENTAL,,"3,730.7",27-Jul-25,  ,HM
1484,KLT-21,LIGHTING TOWER,TL,AM-LTM-4000KS,MS SUPPORT,OPERATION RENTAL,KAI RENTAL,,"13,071.1",5-Aug-25,  ,HM
1485,KLT-22,LIGHTING TOWER,TL,AM-LTM-4000KS,MS SUPPORT,OPERATION RENTAL,KAI RENTAL,,"2,420.0",,  ,HM
1486,KLT-23,LIGHTING TOWER,TL,AM-LTM-4000KS,MS SUPPORT,OPERATION RENTAL,KAI RENTAL,,"21,124.0",10-Aug-25,  ,HM
1487,KLT-24,LIGHTING TOWER,TL,AM-LTM-4000KS,MS SUPPORT,OPERATION RENTAL,KAI RENTAL,,"15,575.3",10-Aug-25,  ,HM
1489,GAM B-07,BUS,BUS,FE 745 4X2,GAM SUPPORT,HE,RODA PRATAMA JAYA,KT 7675 K,  ,, 4.75 ,ODD
1491,KAI LV-028,LIGHT VEHICLE,LV,TRITON 2.5 SC GLS,HAULING SUPPORT,OPERATION HAULING,KAI HAULING,,"127,437.0",10-Aug-25, 7.00 ,ODD
1493,KAI LV-027,LIGHT VEHICLE,LV,TRITON 2.5 SC GLS,HAULING SUPPORT,OPERATION HAULING,KAI HAULING,,"186,832.0",30-Jul-25, 7.00 ,ODD
1494,GGD-02,MOTOR GRADER,MG,GD825A-2,MS HE,HE,MGE RENTAL,,"21,526.0",10-Aug-25, 30.00 ,HM
1495,GDZ-02,BULLDOZER,D155,D155A-6,MS HE,OPERATION RENTAL,MGE RENTAL,,"25,622.0",10-Aug-25, 40.00 ,HM
1496,GDZ-03,BULLDOZER,D155,D155A-6,MS HE,OPERATION RENTAL,MGE RENTAL,,"25,193.0",22-Jul-25, 40.00 ,HM
1497,SMP EX-56,EXCAVATOR,EX 200,PC 200-8MO,MS HE,OPERATION RENTAL,SMP RENTAL,C24100,"24,956.8",30-Jul-25, 14.87 ,HM
1498,SMP DZ-38,BULLDOZER,D85,D85ESS-2,MS HE,OPERATION RENTAL,SMP RENTAL,J19099,  ,, 23.00 ,HM
1501,KEX-27,EXCAVATOR,EX 300,DX300LCA,MS HE,OPERATION RENTAL,KAI RENTAL,,"2,285.0",31-Jul-25, 22.15 ,HM
1502,GWA-03,WHEEL LOADER,WA,WA600-6R,MS HE,OPERATION RENTAL,MGE RENTAL,,"22,231.9",10-Aug-25, 40.00 ,HM
1510,TRUCK-204,LIGHT VEHICLE,TRUCK OPERATIONAL,COLT DIESEL ,GAM SUPPORT,HSE,GAM HSE,KT 8747 YR,  ,, 7.00 ,ODD
1513,LV 409,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,FACILITY,BELFANO NAHLA UTAMA,KT 8458 YR,  ,, 7.00 ,ODD
1517,DTVV-171,DUMP TRUCK,HAULING TRUCK,FMX 440-6X4,HAULING,OPERATION HAULING,KAI HAULING,,"734,110.9",31-Jul-25, 2.00 ,ODD
1518,DTVV-172,DUMP TRUCK,HAULING TRUCK,FMX 440-6X4,HAULING,OPERATION HAULING,KAI HAULING,,"650,268.3",9-Aug-25, 2.00 ,ODD
1519,DTVV-173,DUMP TRUCK,HAULING TRUCK,FMX 440-6X4,HAULING,OPERATION HAULING,KAI HAULING,,"764,080.9",9-Aug-25, 2.00 ,ODD
1521,DTVV-176,DUMP TRUCK,HAULING TRUCK,FMX 440-6X4,HAULING,OPERATION HAULING,KAI HAULING,,"730,810.7",5-Aug-25, 2.00 ,ODD
1522,SMP EX-57,EXCAVATOR,EX 200,PC 200-8MO,MS HE,ROAD & FABRICATION,SMP RENTAL,C24473,"23,058.2",10-Aug-25, 14.87 ,HM
1528,KLT-25,LIGHTING TOWER,TL,TL-LS4-1400,MS SUPPORT,OPERATION RENTAL,KAI RENTAL,,"16,642.9",4-Aug-25,  ,HM
1529,KLT-26,LIGHTING TOWER,TL,TL-LS4-1400,MS SUPPORT,OPERATION RENTAL,KAI RENTAL,,"16,375.1",29-Jul-25,  ,HM
1532,KAI LV-029,LIGHT VEHICLE,LV,TRITON 2.5 DC GLS,MS SUPPORT,OPERATION RENTAL,KAI RENTAL,KT 8731 YR,  ,, 7.00 ,ODD
1535,SMP C-12,COMPACTOR,COMPACTOR,SV 526 D,MS HE,OPERATION RENTAL,SMP RENTAL,2SV70-10341,"19,167.4",10-Aug-25, 5.00 ,HM
1537,SMP EX-60,EXCAVATOR,EX 400,ZX 470LC-5G,MS HE,OPERATION RENTAL,SMP RENTAL,200083,"19,692.5",22-Jul-25, 31.64 ,HM
1539,SMP EX-61,EXCAVATOR,EX 200,PC 200-8MO,MS HE,OPERATION RENTAL,SMP RENTAL,C24498,"24,434.4",10-Aug-25, 14.87 ,HM
1540,SMP EX-62,EXCAVATOR,EX 200,PC 200-8MO,MS HE,OPERATION RENTAL,SMP RENTAL,C24499,"24,875.0",31-Jul-25, 14.87 ,HM
1542,SMP DZ-45,BULLDOZER,D85,D85ESS-2,MS HE,OPERATION RENTAL,SMP RENTAL,J9147,  ,, 23.00 ,HM
1543,GEK-852,EXCAVATOR,EX 200,PC 200-8MO,MS HE,OPERATION RENTAL,GPE RENTAL,C-24477,"19,821.1",10-Aug-25, 14.87 ,HM
1544,SMP C-17,COMPACTOR,COMPACTOR,SV 526 D,MS HE,OPERATION RENTAL,SMP RENTAL,2SV70-10355,  ,, 5.00 ,HM
1547,SMP C-16,COMPACTOR,COMPACTOR,SV 526 D,MS HE,OPERATION RENTAL,SMP RENTAL,2SV70-10346,"20,701.7",25-Jun-25, 5.00 ,HM
1548,SMP C-18,COMPACTOR,COMPACTOR,SV 526 D,MS HE,OPERATION RENTAL,SMP RENTAL,2SV70-10356,"20,443.4",31-Jul-25, 5.00 ,HM
1549,KEX-24,EXCAVATOR,EX 400,PC400-8LC,MS HE,OPERATION RENTAL,KAI RENTAL,,"19,572.0",10-Aug-25, 31.64 ,HM
1550,KEX-25,EXCAVATOR,EX 300,ZX 350H-5G,MS HE,OPERATION RENTAL,KAI RENTAL,,"19,073.8",31-Jul-25, 22.15 ,HM
1552,KEX-28,EXCAVATOR,EX 200,PC 200-8MO,MS HE,OPERATION RENTAL,KAI RENTAL,,"19,603.4",8-Aug-25, 14.87 ,HM
1553,KEX-29,EXCAVATOR,EX 200,PC 200-8MO,MS HE,OPERATION RENTAL,KAI RENTAL,,"20,225.8",31-Jul-25, 14.87 ,HM
1555,KDZ-09,BULLDOZER,D85,D85ESS-2,MS HE,OPERATION RENTAL,KAI RENTAL,,"4,528.3",8-Aug-25, 23.00 ,HM
1556,KCP-07,COMPACTOR,COMPACTOR,BW211-D40,MS HE,ROAD & FABRICATION,KAI RENTAL,,"16,674.0",10-Aug-25, 9.50 ,HM
1558,SUM GS 05,GENSET,GENSET,6CTA8.3-G2,HAULING SUPPORT,OPERATION HAULING,SUM HAULING,,  ,,  ,HM
1559,LV 522,LIGHT VEHICLE,LV,TRITON 2.5 DC GLS,GAM SUPPORT,HE,TRANSKON JAYA,KT 8864 YR,  ,, 7.00 ,ODD
1563,GGK 5302,MOTOR GRADER,MG,GD535-5,MS HE,OPERATION RENTAL,GPE RENTAL,KMTGD033AMXJ10217,"17,599.4",9-Aug-25, 16.00 ,HM
1564,BNU-09,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,GA,BELFANO NAHLA UTAMA,KT 8183 YS,"189,068.0",8-Aug-25, 7.00 ,ODD
1568,GWTH-819,WATER TRUCK,WT CONTRACT,FM 260 JD WT,MS SUPPORT,OPERATION RENTAL,GPE RENTAL,MJEFM8JN1MJE35798,"12,887.7",8-Aug-25, 7.80 ,HM
1569,GWTH-820,WATER TRUCK,WT CONTRACT,FM 260 JD WT,MS SUPPORT,OPERATION RENTAL,GPE RENTAL,MJEFM8JN1MJE35797,"11,224.9",30-Jul-25, 7.80 ,HM
1570,GFTH-810,FUEL TRUCK,FT,HINO 500 FT,MS SUPPORT,OPERATION RENTAL,GPE RENTAL,MJEFM8JN1MJE35799,  ,, 7.80 ,HM
1571,SUC-215,LIGHT VEHICLE,LV,TRITON 2.5 DC GLS,MS SUPPORT,QUALITY CONTROL,SUCOFINDO,KT 8387 DK,"152,616.0",8-Aug-25, 7.00 ,ODD
1572,BNU-06,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,GA,BELFANO NAHLA UTAMA,KT 8186 YS,"196,114.0",10-Aug-25, 7.00 ,ODD
1574,LV 706,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,OPERATION RENTAL,GAM OPERATION RENTAL,KT 8195 YS,"364,211.0",, 7.00 ,ODD
1576,LV 707,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,OPERATION RENTAL,GAM OPERATION RENTAL,KT 8196 YS,  ,, 7.00 ,ODD
1577,LV 708,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,OPERATION RENTAL,GAM OPERATION RENTAL,KT 8198 YS,  ,, 7.00 ,ODD
1581,KG-15,GENSET,GENSET,S4L1D-E41 (350 KVA),MS SUPPORT,OPERATION RENTAL,KAI RENTAL,,  ,7-Aug-25,  ,HM
1582,KG-16,GENSET,GENSET,S4L1D-E41 (350 KVA),HAULING SUPPORT,OPERATION HAULING,KAI HAULING,,  ,7-Aug-25,  ,HM
1583,LV 104 ,LIGHT VEHICLE,LV,FORTUNER VRZ,GAM SUPPORT,GA,DAUN BUAH,KT 1047 YH,  ,, 7.00 ,ODD
1585,MNK DM-07,DRILLING MACHINE,DRILLING BLASTING,C-650 DI,GAM SUPPORT,BLASTING,KMB,,  ,,  ,HM
1586,MNK AT 08,LOADED TRUCK,ANFO TRUCK,SCANIA P-30,GAM SUPPORT,OPERATION HAULING,KMB,,"5,124.8",2-Aug-25,  ,ODD
1587,MNK FP 02,FUEL PROCESS,FUEL PROCESS,FUEL PROCESS,GAM SUPPORT,BLASTING,KMB,,  ,,  ,HM
1588,KEX-30,EXCAVATOR,EX 200,PC 200-8MO,MS HE,OPERATION RENTAL,KAI RENTAL,,"15,669.8",8-Aug-25, 14.87 ,HM
1589,KEX-31,EXCAVATOR,EX 300,ZX 350H-5G,MS HE,OPERATION RENTAL,KAI RENTAL,,"18,430.0",10-Aug-25, 22.15 ,HM
1591,KDZ-11,BULLDOZER,D85,D85ESS-2,MS HE,OPERATION RENTAL,KAI RENTAL,,"2,596.4",8-Aug-25, 23.00 ,HM
1593,SMP LV-21,LIGHT VEHICLE,LV,TRITON 2.5 DC GLS,MS SUPPORT,OPERATION HAULING,SMP HAULING,B 9609 BBE,"307,456.0",9-Aug-25, 7.00 ,ODD
1595,LV 410,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,FACILITY,BELFANO NAHLA UTAMA,KT 8184 YS,"252,889.0",7-Aug-25, 7.00 ,ODD
1597,GAM B-06,MINI BUS,MINI BUS,ELF NLR 55,GAM SUPPORT,HSE,BELFANO NAHLA UTAMA,KT 7539 K,"185,390.0",30-Jul-25, 6.34 ,ODD
1601,GBK 861,BULLDOZER,D85,D85ESS-2,MS HE,OPERATION RENTAL,GPE RENTAL,J19193,"8,317.5",9-Aug-25, 23.00 ,HM
1603,DTVV-177,DUMP TRUCK,HAULING TRUCK,FMX 440-6X4,HAULING,OPERATION HAULING,KAI HAULING,,"459,373.8",9-Aug-25, 2.00 ,ODD
1605,DTVV-179,DUMP TRUCK,HAULING TRUCK,FMX 440-6X4,HAULING,OPERATION HAULING,KAI HAULING,,"637,400.4",9-Aug-25, 2.00 ,ODD
1606,DTVV-180,DUMP TRUCK,HAULING TRUCK,FMX 440-6X4,HAULING,OPERATION HAULING,KAI HAULING,,"585,847.5",9-Aug-25, 2.00 ,ODD
1607,DTVV-181,DUMP TRUCK,HAULING TRUCK,FMX 440-6X4,HAULING,OPERATION HAULING,KAI HAULING,,"573,760.0",4-Aug-25, 2.00 ,ODD
1608,DELTA AYU 368,TUG BOAT,TUG BOAT,TUG BOAT,GAM SUPPORT,SHIPPING,GAM SHIPPING,,  ,,  ,HM
1609,KAI LV-031,LIGHT VEHICLE,LV,TRITON 2.5 DC GLS,HAULING SUPPORT,OPERATION HAULING,KAI HAULING,KT 8327 YS,"152,291.0",10-Aug-25, 7.00 ,ODD
1610,WMR 03,WELDING MACHINE,WELDING MACHINE,BIG BLUE 400X PRO,GAM SUPPORT,FACILITY,GAM FACILITY,,346.7,7-Aug-25,  ,HM
1611,KINGFISHER 501,TUG BOAT,TUG BOAT,TUG BOAT,GAM SUPPORT,SHIPPING,GAM SHIPPING,,  ,,  ,HM
1612,MNK LV-07,LIGHT VEHICLE,LV,TRITON 2.5 DC GLS,GAM SUPPORT,BLASTING,KMB,,  ,, 7.00 ,ODD
1613,KAI LV-032,LIGHT VEHICLE,LV,TRITON 2.5 DC GLS,MS SUPPORT,OPERATION RENTAL,KAI RENTAL,DA 8085 BP,  ,, 7.00 ,ODD
1614,LV 416,LIGHT VEHICLE,LV,TRITON 2.5 DC GLS,GAM SUPPORT,FACILITY,BELFANO NAHLA UTAMA,KT 7735K,  ,, 7.00 ,ODD
1615,GEH 850,EXCAVATOR,EX 400,ZX 470LC-5G,MS HE,OPERATION RENTAL,GPE RENTAL,HHEJACE1J00200087,"16,842.9",10-Aug-25, 31.64 ,HM
1616,KINGSTONE 626,TUG BOAT,TUG BOAT,TUG BOAT,GAM SUPPORT,SHIPPING,GAM SHIPPING,,  ,,  ,HM
1617,HARMONY 51,TUG BOAT,TUG BOAT,TUG BOAT,GAM SUPPORT,SHIPPING,GAM SHIPPING,,  ,,  ,HM
1618,HARMONY 52,TUG BOAT,TUG BOAT,TUG BOAT,GAM SUPPORT,SHIPPING,GAM SHIPPING,,  ,,  ,HM
1619,GEH-852,EXCAVATOR,EX 400,ZX 470LC-5G,MS HE,OPERATION RENTAL,GPE RENTAL,HHEJACE1J00200089,"16,978.6",10-Aug-25, 31.64 ,HM
1620,GEH-851,EXCAVATOR,EX 400,ZX 470LC-5G,MS HE,OPERATION RENTAL,GPE RENTAL,HHEJACE1C00200088,"15,547.7",10-Aug-25, 31.64 ,HM
1621,KAI BUS-08,BUS,BUS,COLT DIESEL FE 84 G,HAULING SUPPORT,OPERATION HAULING,KAI HAULING,KT 7736 K,"202,871.0",10-Aug-25, 4.75 ,ODD
1622,SMP B-30,BUS,BUS,NQR 71 ,HAULING SUPPORT,OPERATION HAULING,SMP HAULING,E 7657 KB,"199,792.0",31-Jul-25, 4.75 ,ODD
1623,LV 417,LIGHT VEHICLE,LV,TRITON 2.5 DC GLS,GAM SUPPORT,FACILITY,BELFANO NAHLA UTAMA,KT 7734 K,  ,, 7.00 ,ODD
1624,LV 120,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,GA,BELFANO NAHLA UTAMA,KT 8287 YS,"282,193.0",10-Aug-25, 7.00 ,ODD
1629,SMP EX-63,EXCAVATOR,EX 400,ZX 470LC-5G,MS HE,OPERATION RENTAL,SMP RENTAL,200092,"18,412.4",10-Aug-25, 31.64 ,HM
1630,KINGSTONE 525,TUG BOAT,TUG BOAT,TUG BOAT,GAM SUPPORT,SHIPPING,GAM SHIPPING,,  ,,  ,HM
1632,SMP EX-65,EXCAVATOR,EX 400,ZX 470LC-5G,MS HE,OPERATION RENTAL,SMP RENTAL,200093,"20,622.2",10-Aug-25, 31.64 ,HM
1633,G-23,GENSET,GENSET,C550D5E,GAM SUPPORT,GA,GAM GA,,  ,,  ,HM
1634,KAI TS-02,LOADED TRUCK,TRUCK SAMPAH,FE 745 4X4,HAULING SUPPORT,OPERATION HAULING,KAI HAULING,KT 8763 YR,"59,878.0",29-Jul-25,  ,ODD
1636,G-24,GENSET,GENSET,C550D5E,GAM SUPPORT,GA,GAM GA,,  ,,  ,HM
1637,W-04,WELDING MACHINE,WELDING MACHINE,BIG BLUE 400X PRO,GAM SUPPORT,FACILITY,GAM FACILITY,,"3,453.0",4-Aug-25,  ,HM
1638,WILLIAM 2,TUG BOAT,TUG BOAT,TUG BOAT,GAM SUPPORT,SHIPPING,GAM SHIPPING,,  ,,  ,HM
